misspelled,intended,pyspellchecker,pyspellchecker_correct,custom_levenshtein,custom_correct
teh,the,the,True,tea,False
recieve,receive,receive,True,relieve,False
wich,which,with,False,sich,False
thier,their,their,True,thief,False
beleive,believe,believe,True,beleeue,False
seperate,separate,separate,True,separate,True
definately,definitely,definitely,True,definitely,True
occured,occurred,occurred,True,occurred,True
untill,until,untill,False,untill,False
wenever,whenever,whenever,True,whenever,True
frend,friend,frend,False,frend,False
happyness,happiness,happiness,True,happiness,True
goverment,government,government,True,government,True
langage,language,language,True,language,True
knowlege,knowledge,knowledge,True,knowledge,True
bussiness,business,business,True,fussiness,False
comming,coming,comming,False,comming,False
familys,families,family,False,family,False
childs,children,child,False,child,False
truely,truly,truely,False,truely,False
